,,,,,,,
,AcX,AcY,AcZ,Tmp,GyX,GyY,GyZ
,17040,208,1592,26.65,-207,-110,-19
,16764,124,1676,26.74,-221,-116,-25
,16924,252,1668,26.65,-214,-127,-35
,16936,180,1648,26.65,-204,-128,-30
,17048,196,1740,26.6,-237,-105,-26
,16840,132,1724,26.6,-216,-135,-36
,16996,148,1716,26.69,-207,-114,-24
,16980,112,1732,26.6,-210,-111,-10
,16708,100,1748,26.6,-197,-134,-22
,17020,148,1800,26.69,-230,-134,-30
,16988,332,1528,26.6,-234,-131,-25
,17052,228,1656,26.6,-233,-115,-23
,16852,52,1692,26.6,-231,-94,-44
,16904,248,1420,26.65,-245,-118,-9
,16964,160,1672,26.46,-226,-134,-52
,17240,320,1596,26.69,-220,-130,-15
,17136,240,1632,26.65,-216,-118,-13
,16668,92,1692,26.65,-224,-131,-29
,17156,280,1736,26.65,-225,-131,-14
,16860,64,1524,26.55,-224,-106,-36
,16728,144,1620,26.65,-214,-126,-31
,16692,176,1572,26.69,-243,-113,-19
,16752,116,1580,26.6,-233,-132,-36
,16796,172,1480,26.69,-224,-135,-34
,16632,188,1608,26.65,-225,-113,-26
,17004,264,1516,26.6,-215,-133,-20
,16752,132,1600,26.69,-228,-125,-38
,16912,264,1552,26.55,-232,-126,-10
,16752,188,1568,26.6,-225,-114,-34
,16924,308,1632,26.65,-216,-111,-36
,16740,280,1572,26.65,-211,-105,-28
,16796,220,1708,26.6,-213,-143,-32
,17076,232,1616,26.69,-220,-126,-35
,16980,228,1644,26.6,-217,-134,-31
,16680,188,1428,26.65,-235,-114,-8
,17116,188,1672,26.74,-218,-130,-10
,16876,272,1820,26.6,-229,-140,-25
,16848,164,1712,26.65,-235,-121,-19
,16804,168,1560,26.65,-205,-117,-42
,16740,144,1608,26.46,-214,-111,-11
,16784,228,1656,26.55,-223,-133,-23
,16888,232,1464,26.74,-212,-131,-24
,16900,92,1536,26.65,-221,-120,-24
,16660,88,1720,26.65,-217,-103,-32
,16784,276,1728,26.65,-223,-136,-22
,16820,116,1592,26.65,-244,-116,-13
,17120,184,1640,26.55,-216,-99,-30
,16716,128,1620,26.65,-209,-126,-37
,16920,220,1636,26.65,-231,-108,-30
,16880,204,1600,26.6,-206,-126,-34
,17000,252,1532,26.69,-213,-95,-24
,16812,276,1560,26.6,-220,-123,-21
,16832,212,1600,26.6,-215,-106,-25
,17040,252,1664,26.6,-223,-123,-19
,16956,164,1544,26.6,-221,-114,-24
,17024,200,1556,26.6,-218,-122,-41
,17000,228,1596,26.69,-220,-114,-29
,16768,164,1684,26.6,-217,-115,-38
,16852,204,1744,26.6,-218,-112,-19
,16704,148,1508,26.65,-238,-119,-47
,17108,248,1708,26.65,-240,-123,-27
,17008,200,1508,26.69,-216,-112,-25
,16928,228,1588,26.69,-221,-114,-16
,16916,260,1568,26.6,-216,-126,-19
,17040,192,1556,26.69,-228,-108,-22
,16988,300,1632,26.69,-216,-94,-37
,16940,88,1688,26.65,-223,-124,-32
,16796,212,1664,26.65,-221,-93,-18
,16936,224,1524,26.65,-218,-130,-26
,16968,184,1600,26.69,-226,-138,-20
,16840,156,1752,26.69,-211,-117,-39
,16764,216,1688,26.69,-233,-138,-21
,17056,208,1524,26.6,-220,-112,-30
,16632,224,1696,26.6,-212,-124,-29
,16748,180,1624,26.6,-214,-98,-31
,16804,148,1628,26.69,-243,-122,-14
,16896,192,1708,26.69,-224,-110,-7
,16924,248,1604,26.74,-214,-139,-33
,16744,188,1620,26.69,-237,-128,-28
,16780,180,1700,26.6,-220,-124,-25
,16912,252,1580,26.6,-225,-125,-35
,16792,84,1640,26.6,-234,-110,-18
,16980,172,1596,26.55,-240,-112,-11
,16820,200,1640,26.65,-209,-129,-26
,16904,132,1472,26.69,-209,-110,-25
,16912,284,1572,26.6,-215,-148,-32
,16792,116,1544,26.65,-213,-119,-14
,16780,208,1568,26.55,-234,-144,-30
,16980,180,1728,26.65,-226,-140,-24
,16908,252,1580,26.6,-227,-126,-22
,16732,76,1692,26.65,-212,-109,-30
,16928,140,1688,26.69,-218,-125,-33
,16784,188,1708,26.6,-228,-128,-33
,16924,248,1544,26.55,-214,-113,-39
,16952,204,1728,26.69,-227,-121,-23
,16876,200,1680,26.55,-229,-131,-24
,16820,212,1656,26.6,-237,-118,-33
,16964,188,1756,26.65,-223,-125,-30
,16972,252,1456,26.65,-219,-123,-30
,16912,264,1704,26.69,-215,-116,-40
,16704,152,1564,26.69,-230,-115,-35
,16864,260,1652,26.69,-213,-113,-23
,16744,244,1664,26.69,-243,-122,-35
,16864,252,1640,26.74,-226,-117,-17
,16980,268,1556,26.65,-215,-131,-41
,16952,264,1596,26.65,-217,-105,-37
,17072,332,1688,26.65,-224,-118,-28
,16768,120,1592,26.6,-206,-124,-22
,16876,164,1664,26.65,-214,-151,-38
,16960,280,1772,26.6,-215,-123,-34
,16832,188,1676,26.69,-212,-137,-5
,16812,132,1596,26.65,-207,-139,-19
,16720,204,1588,26.69,-221,-127,-16
